Gene1	Gene2	Correlation	Pvalue	FDR
ENSG00000075239	ENSG00000100714	0.703721488595438	1.19555241262503e-08	1.13292823863039e-06
ENSG00000075239	ENSG00000119673	0.733397358943577	1.38306210928363e-09	2.21959161086647e-07
ENSG00000075239	ENSG00000119711	0.726386554621849	2.36065855752088e-09	3.26229897879621e-07
ENSG00000075239	ENSG00000134057	-0.712941176470588	6.29620644509998e-09	6.96080601430498e-07
ENSG00000075239	ENSG00000157131	0.706698679471789	9.74542646581256e-09	9.74542646581256e-07
ENSG00000075239	ENSG00000166840	0.856134453781513	2.22044604925031e-15	4.41868763800812e-12
ENSG00000075239	ENSG00000171503	0.70093637454982	1.44421883341295e-08	1.26052433267183e-06
ENSG00000075239	ENSG00000204653	0.748955582232893	3.96958022008675e-10	7.59563907497369e-08
ENSG00000084207	ENSG00000109736	0.702280912364946	1.31865873775894e-08	1.19278676733649e-06
ENSG00000084207	ENSG00000141526	0.792941176470588	6.70907773780982e-12	3.06466115111577e-09
ENSG00000084207	ENSG00000198467	0.715534213685474	5.23361309845427e-09	6.23646111731976e-07
ENSG00000084207	ENSG00000227507	0.705738295318127	1.04124926458837e-08	1.01077367635652e-06
ENSG00000085733	ENSG00000146083	0.782472989195678	1.92801330456405e-11	7.23914429449519e-09
ENSG00000085733	ENSG00000166900	0.715822328931573	5.12657760687318e-09	6.14571652872147e-07
ENSG00000088992	ENSG00000109736	0.702953181272509	1.25979700005274e-08	1.17149347201166e-06
ENSG00000088992	ENSG00000146038	0.755966386554622	2.19503304421664e-10	4.89366710117641e-08
ENSG00000088992	ENSG00000173457	0.701992797118848	1.34466811019252e-08	1.20535564832572e-06
ENSG00000088992	ENSG00000176170	0.764609843937575	1.02832631299066e-10	2.71585333169879e-08
ENSG00000088992	ENSG00000227507	0.755198079231693	2.34453345626662e-10	5.11318045874801e-08
ENSG00000088992	ENSG00000253368	0.723985594237695	2.82441003918166e-09	3.747050651981e-07
ENSG00000092009	ENSG00000100448	0.868513808764579	4.44089209850063e-16	9.81930586224027e-13
ENSG00000100003	ENSG00000100714	0.805234093637455	1.79323222937455e-12	1.04956827542805e-09
ENSG00000100003	ENSG00000109736	-0.760096038415366	1.53397961000223e-10	3.81577427988056e-08
ENSG00000100003	ENSG00000112293	0.706122448979592	1.01406745223187e-08	9.99007044525456e-07
ENSG00000100003	ENSG00000117054	0.702472989195678	1.30158261946178e-08	1.18271662681687e-06
ENSG00000100003	ENSG00000119711	0.808115246098439	1.29851684960158e-12	7.83045009305197e-10
ENSG00000100003	ENSG00000128928	0.722160864345738	3.23287152603768e-09	4.23250943211513e-07
ENSG00000100003	ENSG00000137731	-0.710893419014486	7.2754469115921e-09	7.70113795429164e-07
ENSG00000100003	ENSG00000143839	0.714285714285714	5.72220226757736e-09	6.62045494911567e-07
ENSG00000100003	ENSG00000160211	-0.703145258103241	1.24343846330532e-08	1.1617101136045e-06
ENSG00000100003	ENSG00000204653	0.837214885954382	3.5527136788005e-14	3.72100011621737e-11
ENSG00000100448	ENSG00000163751	0.77223779611613	5.12501152627465e-11	1.6449633769817e-08
ENSG00000100448	ENSG00000172236	0.790435033404142	8.68505267703767e-12	3.84072329495666e-09
ENSG00000100448	ENSG00000197253	0.76938039029049	6.67319532965394e-11	1.98203861283751e-08
ENSG00000100714	ENSG00000109736	-0.789579831932773	9.47730782741019e-12	4.01273246309495e-09
ENSG00000100714	ENSG00000119711	0.835678271308523	4.37427871702312e-14	4.01698876182557e-11
ENSG00000100714	ENSG00000134365	0.704585834333733	1.12696214582542e-08	1.07819936066951e-06
ENSG00000100714	ENSG00000137731	-0.712045907670008	6.70799371604858e-09	7.28827944855751e-07
ENSG00000100714	ENSG00000157131	0.712460984393757	6.51402221052422e-09	7.12247483458417e-07
ENSG00000100714	ENSG00000160211	-0.704009603841537	1.17226457430064e-08	1.11617536021927e-06
ENSG00000100714	ENSG00000173457	-0.715822328931573	5.12657760687318e-09	6.14571652872147e-07
ENSG00000100714	ENSG00000204653	0.783625450180072	1.72140079968131e-11	6.58766844493423e-09
ENSG00000101981	ENSG00000166840	0.749435774309724	3.81408238325776e-10	7.36895528415819e-08
ENSG00000104312	ENSG00000119711	-0.720912364945978	3.54372398092551e-09	4.54968433680113e-07
ENSG00000104312	ENSG00000154582	0.768259303721489	7.39377448155665e-11	2.1324074229417e-08
ENSG00000104312	ENSG00000160211	0.753661464585834	2.67284860910877e-10	5.65847737460261e-08
ENSG00000104312	ENSG00000184428	0.700360144057623	1.50139725096921e-08	1.30470765477237e-06
ENSG00000104312	ENSG00000185803	0.794285714285714	5.83266768217072e-12	2.83097772866335e-09
ENSG00000104738	ENSG00000110169	-0.727442977190876	2.18022311315735e-09	3.03401677984835e-07
ENSG00000104738	ENSG00000132182	0.778919567827131	2.72306621695861e-11	9.8525486759048e-09
ENSG00000104738	ENSG00000134057	0.768643457382953	7.13895609294468e-11	2.08919450367058e-08
ENSG00000104738	ENSG00000156802	0.72984393757503	1.81728343484622e-09	2.67881039655109e-07
ENSG00000104738	ENSG00000160957	0.85546218487395	2.66453525910038e-15	4.41868763800812e-12
