""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003"	4367.04156751199	-0.382420763251286	0.208387696328675	-1.83514079760314	0.0664848303551482	0.310579387552617
"ENSG00000000005"	3.78854057542868	-0.95153206976786	0.686385856939787	-1.38629323455208	0.165657381863312	0.475952154596173
"ENSG00000000419"	1201.56634094	0.0143229568109746	0.133990147642255	0.106895596900273	0.914871806341746	0.969246266249535
"ENSG00000000457"	605.377175047617	-0.191174005847424	0.169850639691208	-1.12554186545887	0.260359486986045	0.576983366066808
"ENSG00000000460"	329.032914630914	-0.0478256207359382	0.307405091237035	-0.155578492677145	0.876365278846019	0.956547416019744
"ENSG00000000938"	263.44679853754	0.671707450286023	0.343431672709818	1.95586925628022	0.0504805578015048	0.271797058849481
"ENSG00000000971"	48864.756774552	-0.888623436347583	0.287084124880952	-3.09534160663212	0.00196586339860189	0.052633829749517
"ENSG00000001036"	4109.59407872962	0.0177842533232803	0.20856924599215	0.0852678602671345	0.932048442242222	0.975775833739088
"ENSG00000001084"	4967.20696083986	-0.467509455236879	0.255309334204722	-1.83114909093767	0.0670782929427908	0.31244176364377
"ENSG00000001167"	1104.22146178531	0.200661490748752	0.196358522845796	1.02191383312827	0.306821684679373	0.621534076289651
"ENSG00000001460"	168.93478556233	0.394301929978257	0.162986862408075	2.41922523173083	0.0155536063351184	0.152544652683063
"ENSG00000001461"	447.647879652056	0.231536502723013	0.148658827952624	1.55750254399155	0.119351217051984	0.408107146059147
"ENSG00000001497"	2052.6280905159	0.028550408346272	0.16463042793424	0.173421212011161	0.862320352939177	0.950270458263622
"ENSG00000001561"	823.868185530361	-0.382926710749388	0.259416228079657	-1.47610931507263	0.139914548637493	0.438092687872214
"ENSG00000001617"	1054.96356604254	0.427205650328378	0.20258446046428	2.10877798499113	0.0349637497292958	0.226718265425834
"ENSG00000001626"	79.1955414180064	-0.825478683656107	0.705519303374561	-1.17002990521701	0.241988934383256	0.558345674712708
"ENSG00000001629"	1036.54565155708	-0.113537915547423	0.194977682530462	-0.582312365568735	0.560356297822367	0.803031718549207
"ENSG00000001630"	586.951472835964	-0.573396088338142	0.336073252982086	-1.70616400814469	0.0879775478509048	0.354562780786059
"ENSG00000001631"	757.677366291743	-0.281263074983227	0.196201722830656	-1.43354029172307	0.151703492960435	0.454836526423856
"ENSG00000002016"	222.163597011817	0.0184215203198745	0.175309389472185	0.105080055183224	0.916312285334018	0.96961210022979
"ENSG00000002330"	1811.40507830982	0.117851037537804	0.171673033339543	0.686485438308252	0.492407043765296	0.758713639000513
"ENSG00000002549"	5066.07992966725	-0.541775358640796	0.251904007701939	-2.15072147356164	0.0314981904070248	0.216215255169097
"ENSG00000002586"	8708.22819761215	-0.16928310859024	0.165081226082529	-1.02545342439855	0.305149291158102	0.620497187183768
"ENSG00000002587"	72.5381276702878	-0.172672646662464	0.291236797715217	-0.592894332093676	0.553251871426081	0.798754277018392
"ENSG00000002726"	58.8154804547917	0.199086890414939	0.613123388363388	0.32470933941431	0.74540106554097	0.897567290730137
"ENSG00000002745"	2.77675981826942	1.85893705111257	0.713039816351205	2.60705925319178	0.00913235555300595	0.116440194137947
"ENSG00000002746"	43.9437964876902	0.83263880048842	0.630943424771813	1.31967268030339	0.186944325160741	0.500598827308562
"ENSG00000002822"	1410.65203053802	0.107601237940931	0.21119666337966	0.509483607454065	0.61041328565188	0.829663560303656
"ENSG00000002834"	11272.3352464224	0.218810202254794	0.165799113899156	1.31973083033411	0.186924902728614	0.500598827308562
"ENSG00000002919"	1017.78510765889	-0.0934175171622124	0.165084765561172	-0.565876062789068	0.571478034916859	0.808732178969818
"ENSG00000002933"	34502.9700622479	-0.334906720736354	0.304454876931144	-1.10002087702506	0.271323025786492	0.587173245060329
"ENSG00000003056"	1299.54224565988	-0.0368315791551327	0.245267345015241	-0.150169110987213	0.880631195374196	0.958648309809464
"ENSG00000003096"	200.876061363674	-0.500346797412198	0.356696521251275	-1.40272407383454	0.16069913564525	0.469106976501988
"ENSG00000003137"	276.950141748676	1.24294649099704	0.67150789008259	1.85097823771537	0.0641726839611599	0.305934297706216
"ENSG00000003147"	792.091459318468	0.525235540590915	0.39823719707605	1.31890125896656	0.187202125219097	0.501061028119805
"ENSG00000003249"	1644.42651852013	0.376144135440712	0.388234784889101	0.968857377239282	0.332616354122996	0.641877168560225
"ENSG00000003393"	1362.37149436713	0.063686789423878	0.167378835785135	0.380494876339282	0.703578099158934	0.874805992227674
"ENSG00000003400"	574.269161682455	0.0205962905601233	0.138383618151918	0.148834745291257	0.881684033196507	0.95879327884276
"ENSG00000003402"	3532.09220122263	0.0481944748563165	0.0987562394406085	0.488014480191911	0.625539584539583	0.837833794503972
"ENSG00000003436"	12773.093502525	0.305299621523836	0.389507389196138	0.783809575869436	0.433151854150242	0.719579939681958
"ENSG00000003509"	524.43616789622	0.0407104083952835	0.13581493434253	0.299749129890314	0.764368520427349	0.907266611128163
"ENSG00000003756"	1893.82129709414	0.0899160856316375	0.114270219645785	0.786872431945607	0.431356547056399	0.717901016554249
"ENSG00000003987"	154.092856702726	1.79566118400042	0.458921271523375	3.91278699729863	9.12370059758901e-05	0.00803063170300078
"ENSG00000003989"	6387.12066483261	-0.753517862402261	0.327736313878777	-2.29915889845814	0.0214959179897351	0.17632448954481
"ENSG00000004059"	5059.16513902536	0.107213030751852	0.159409898375591	0.672561941537932	0.501226021014158	0.76496726359487
